index,pmid,sid,text,len,interventions,interventions/Surgical,interventions/Surgical Fragment,interventions/Surgical_fragment_index,interventions/Physical,interventions/Physical Fragment,interventions/Physical_fragment_index,participants,participants/Condition,participants/Condition Fragment,participants/Condition_fragment_index,outcomes,outcomes/Physical,outcomes/Physical Fragment,outcomes/Physical_fragment_index,outcomes/Pain,outcomes/Pain Fragment,outcomes/Pain_fragment_index,outcomes/Adverse-effects,outcomes/Adverse-effects Fragment,outcomes/Adverse-effects_fragment_index,outcomes/Mental,outcomes/Mental Fragment,outcomes/Mental_fragment_index,outcomes/Other,outcomes/Other Fragment,outcomes/Other_fragment_index,participants/Age,participants/Age Fragment,participants/Age_fragment_index,interventions/Educational,interventions/Educational Fragment,interventions/Educational_fragment_index,interventions/Other,interventions/Other Fragment,interventions/Other_fragment_index,participants/Sample-size,participants/Sample-size Fragment,participants/Sample-size_fragment_index,interventions/Pharmacological,interventions/Pharmacological Fragment,interventions/Pharmacological_fragment_index,participants/Sex,participants/Sex Fragment,participants/Sex_fragment_index,interventions/Control,interventions/Control Fragment,interventions/Control_fragment_index,outcomes/Mortality,outcomes/Mortality Fragment,outcomes/Mortality_fragment_index,interventions/Psychological,interventions/Psychological Fragment,interventions/Psychological_fragment_index,Negative
360,19232615,1,"OBJECTIVES Evaluate the impact of an intensive insulin therapy and conventional glucose control protocol during staying in neurological intensive care unit ( NICU ) on infection rate , days in NICU , in-hospital mortality and long-term neurological outcome in severe traumatic brain injury ( TBI ) patients .",48,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,",; long-term neurological outcome","[183, 226]",0.0,,,1.0,infection rate,[168],0.0,,,1.0,days in NICU,[185],0.0,,,0.0,,,0.0,,,0.0,,,1.0,intensive insulin therapy; conventional glucose control protocol,"[37, 67]",0.0,,,0.0,,,1.0,in-hospital mortality,[200],0.0,,,0.0
475,16904970,9,Patients with a recurrence after open repair had more pain than those with a recurrence after laparoscopic repair ( P = .0001 ) .,24,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,1.0,pain,[54],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
603,17482439,5,The principal findings in our study show a strong correlation between PGC-1alpha and COX5B ( p < 0.001 ) and between PGC-1alpha and MT-CO2 ( p=0.017 ) expression .,29,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,PGC-1alpha and COX5B; PGC-1alpha and MT-CO2,"[70, 117]",0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
763,8561059,1,We evaluated the effects of RRR-alpha-tocpheryl acetate ( alpha-tocopheryl acetate ) and hormone-replacement therapy ( HRT ) on the oxidative susceptibility of low-density lipoprotein ( LDL ) in postmenopausal women consuming a fish oil supplement .,36,1.0,0.0,,,0.0,,,1.0,1.0,postmenopausal,[195],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,RRR-alpha-tocpheryl acetate ( alpha-tocopheryl acetate ); hormone-replacement therapy ( HRT ); fish oil supplement,"[28, 89, 228]",1.0,women,[210],0.0,,,0.0,,,0.0,,,0.0
1264,20726255,5,"After 1 month of vaccination with 3 doses of the OPV ( HDC ) vaccine , the immune success rates of I , II , III type were 98.28 % , 99.45 % , and 95.71 % respectively , the GMTs of I , II , III type in susceptible children were 1:1243.72 , 1:234.38 and 1:273.10 respectively .",59,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,"immune success rates of I , II , III type; GMTs of I , II , III type","[75, 173]",0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,OPV ( HDC ) vaccine,[49],0.0,,,0.0,,,0.0,,,0.0,,,0.0
1310,25719544,7,All resuscitators were trained in the use of both face masks .,12,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
1519,19926166,9,The incidence of NEC and the duration of hospital stay were comparable in both groups .,16,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,1.0,incidence of NEC,[4],0.0,,,1.0,the duration of hospital stay,[25],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
1559,2073645,2,Twelve male patients with stable effort angina and without previous myocardial infarction were studied .,15,0.0,0.0,,,0.0,,,1.0,1.0,stable effort angina; myocardial infarction,"[26, 68]",0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,Twelve,[0],0.0,,,1.0,male,[7],0.0,,,0.0,,,0.0,,,0.0
2789,3885865,2,The above metoclopramide regimen significantly suppressed the frequency of vomiting on the day of CDDP administration .,17,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,suppressed the frequency of vomiting,[47],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,metoclopramide,[10],0.0,,,0.0,,,0.0,,,0.0,,,0.0
2975,20043831,5,METHODS/DESIGN CoAct is a randomised controlled trial with two arms : a control group and intervention group with daily activity monitoring and distance counselling .,25,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,daily activity monitoring and distance counselling .,[114],0.0,,,0.0,,,0.0,,,0.0,,,1.0,control,[72],0.0,,,0.0,,,0.0
